Period,CPI Y-o-Y change
1917-10-01,19.47
1917-09-01,19.82
1917-08-01,19.27
1917-07-01,18.52
1917-06-01,20.37
1917-05-01,19.63
1917-04-01,18.87
1917-03-01,14.29
1917-02-01,15.38
1917-01-01,12.5
1916-12-01,12.62
1916-11-01,11.65
1916-10-01,10.78
1916-09-01,9.9
1916-08-01,7.92
1916-07-01,6.93
1916-06-01,6.93
1916-05-01,5.94
1916-04-01,6
1916-03-01,6.06
1916-02-01,4
1916-01-01,2.97
1915-12-01,1.98
1915-11-01,0.98
1915-10-01,0.99
1915-09-01,-0.98
1915-08-01,-0.98
1915-07-01,1
1915-06-01,2.02
1915-05-01,2.02
1915-04-01,2.04
1915-03-01,0
1915-02-01,1.01
1915-01-01,1
1914-12-01,1
1914-11-01,0.99
1914-10-01,1
1914-09-01,2
1914-08-01,3.03
1914-07-01,1.01
1914-06-01,1.02
1914-05-01,2.06
1914-04-01,0
1914-03-01,1.02
1914-02-01,1.02
1914-01-01,2.04
